time_sec,amplitude
0.3,-0.007535
0.31,0.001608
0.32,-0.006546
0.33,0.011106
0.34,0.032826
0.35,0.032505
0.36,-0.017034
0.37,0.005392
0.38,-0.025578
0.39,0.033814
0.4,0.047349
0.41,-0.016561
0.42,-0.000343
0.43,-0.008396
0.44,-0.029055
0.45,-0.03643
0.46,0.01969
0.47,0.004092
0.48,0.009148
0.49,-0.031038
0.5,-0.012954
0.51,0.029792
0.52,0.01515
0.53,0.017753
0.54,0.00931
0.55,-0.01247
0.56,0.008786
0.57,0.011248
0.58,-0.032817
0.59,0.015058
0.6,0.012764
0.61,-0.011534
0.62,-0.007685
0.63,0.024799
0.64,0.008756
0.65,0.024827
0.66,0.000907
0.67,-0.017907
0.68,-0.029031
0.69,-0.064714
0.7,-0.012582
0.71,5.6e-05
0.72,0.028577
0.73,0.047356
0.74,-0.002789
0.75,-0.030954
0.76,0.030841
0.77,-0.005904
0.78,0.01847
0.79,-0.019959
0.8,-0.011714
0.81,0.027546
0.82,-0.015767
0.83,-0.002386
0.84,-0.016903
0.85,-0.006667
0.86,-0.016511
0.87,0.00447
0.88,0.011879
0.89,-0.021487
0.9,-0.022213
0.91,0.014396
0.92,0.008829
0.93,-0.016164
0.94,-0.012911
0.95,0.011786
0.96,-0.016235
0.97,-0.002365
0.98,-0.001381
0.99,0.009406
1.0,-0.020432
1.01,0.007294
1.02,0.032413
1.03,0.025816
1.04,-0.002627
1.05,0.009428
1.06,-0.02708
1.07,-0.010096
1.08,-0.011257
1.09,0.001787
1.1,0.018481
1.11,0.029032
1.12,0.009234
1.13,0.002094
1.14,0.005013
1.15,-0.026549
1.16,0.022261
1.17,0.039437
1.18,0.004117
1.19,0.00119
1.2,0.00996
1.21,0.024753
1.22,-0.030169
1.23,0.00774
1.24,-0.029716
1.25,0.002003
1.26,0.03174
1.27,-0.009106
1.28,-0.026856
1.29,-0.03094
1.3,0.018305
1.31,-0.006503
1.32,-0.006279
1.33,0.003122
1.34,0.011372
1.35,-0.009605
1.36,-0.045586
1.37,-0.02755
1.38,-0.017981
1.39,0.022985
1.4,-0.022012
1.41,0.037552
1.42,-0.032855
1.43,0.004445
1.44,-0.017662
1.45,0.005627
1.46,0.001728
1.47,0.020758
1.48,0.024875
1.49,-0.039044
1.5,0.015082
1.51,0.000249
1.52,-0.000867
1.53,0.048382
1.54,-0.002136
1.55,-0.046901
1.56,0.028292
1.57,0.016546
1.58,-0.006433
1.59,0.001417
1.6,0.025509
1.61,0.029587
1.62,-0.002381
1.63,0.030235
1.64,0.008325
1.65,0.026697
1.66,0.013877
1.67,-0.018521
1.68,0.019125
1.69,0.047065
1.7,-0.034893
1.71,-0.005041
1.72,-0.014914
1.73,0.031958
1.74,0.000105
1.75,0.01808
1.76,-0.004739
1.77,0.037061
1.78,-0.012587
1.79,0.021208
1.8,-0.010407
1.81,0.006863
1.82,0.021168
1.83,0.009952
1.84,-0.017569
1.85,0.030257
1.86,0.019608
1.87,-0.00672
1.88,0.009992
1.89,-0.006657
1.9,0.001835
1.91,0.008458
1.92,-0.017481
1.93,0.004048
1.94,-0.022261
1.95,-0.029533
1.96,-0.022929
1.97,0.019949
1.98,0.000423
1.99,0.006616
2.0,-0.010379
2.01,0.009992
2.02,0.012056
2.03,0.0024
2.04,-0.002962
2.05,0.003837
2.06,0.031505
2.07,0.012925
2.08,-0.00334
2.09,-0.035594
2.1,0.008371
2.11,0.025675
2.12,0.032754
2.13,0.020341
2.14,0.004544
2.15,0.005227
2.16,-0.015174
2.17,-0.012341
2.18,0.014596
2.19,-0.015189
2.2,-0.038657
2.21,-0.023473
2.22,0.002662
2.23,-0.013765
2.24,-0.003856
2.25,0.004136
2.26,0.012842
2.27,0.020585
2.28,0.008987
2.29,-0.006145
2.3,-0.009512
2.31,-0.009104
2.32,0.016445
2.33,-0.005243
2.34,-0.024077
2.35,-0.010182
2.36,-0.016202
2.37,-0.017668
2.38,-0.02293
2.39,0.012063
2.4,-0.025094
2.41,0.01013
2.42,0.025426
2.43,-0.000861
2.44,0.013119
2.45,0.001354
2.46,-0.028687
2.47,0.036141
2.48,0.009841
2.49,-0.022095
2.5,0.014864
2.51,-0.016311
2.52,0.017715
2.53,0.006073
2.54,0.030481
2.55,0.00892
2.56,0.002546
2.57,0.005352
2.58,-0.007258
2.59,0.004292
2.6,-0.00588
2.61,-0.014434
2.62,0.010339
2.63,0.016155
2.64,-0.011878
2.65,0.014371
2.66,0.006554
2.67,-0.005145
2.68,-0.043553
2.69,0.003187
2.7,-0.049409
2.71,-0.003364
2.72,0.009581
2.73,-0.012062
2.74,0.015143
2.75,0.002866
2.76,0.00949
2.77,0.017583
2.78,0.001113
2.79,0.029744
2.8,-0.005918
2.81,0.012407
2.82,0.091052
2.83,0.142526
2.84,0.124663
2.85,0.098241
2.86,0.017244
2.87,-0.082818
2.88,-0.110791
2.89,-0.130383
2.9,-0.124792
2.91,-0.047879
2.92,-0.069687
2.93,0.009519
2.94,0.044164
2.95,0.093465
2.96,0.117928
2.97,0.049242
2.98,0.068111
2.99,-0.013343
3.0,-0.081493
3.01,-0.065629
3.02,-0.096991
3.03,-0.092762
3.04,-0.071624
3.05,-0.000825
3.06,0.063758
3.07,0.136153
3.08,0.144841
3.09,0.116119
3.1,0.064586
3.11,0.037455
3.12,-0.060321
3.13,-0.085383
3.14,-0.093434
3.15,-0.133856
3.16,-0.111636
3.17,-0.020429
3.18,0.040137
3.19,0.110739
3.2,0.118597
3.21,0.097441
3.22,0.103293
3.23,0.055919
3.24,-0.02966
3.25,-0.074153
3.26,-0.11933
3.27,-0.098402
3.28,-0.096893
3.29,-0.050616
3.3,0.022825
3.31,0.01064
3.32,0.084753
3.33,0.128058
3.34,0.074978
3.35,0.036303
3.36,-0.010912
3.37,-0.063421
3.38,-0.106559
3.39,-0.121225
3.4,-0.081622
3.41,-0.092654
3.42,-0.037763
3.43,0.015114
3.44,0.090246
3.45,0.142419
3.46,0.111901
3.47,0.072984
3.48,0.026141
3.49,-0.009094
3.5,-0.067524
3.51,-0.090067
3.52,-0.102018
